tract,name,area_sqmi,pop_est,pop_margin,ccvi
11707,Census Tract 117.07,4.315197188028,6942.0,292.0,0.290782893005084
11708,Census Tract 117.08,9.806553732536,3680.0,217.0,0.177886147324088
11800,Census Tract 118,1.616826449426,5380.0,235.0,0.317133317632064
11901,Census Tract 119.01,2.92950452327,6354.0,280.0,0.730898712957704
11902,Census Tract 119.02,3.061371483738,5850.0,283.0,0.2650420470761
12000,Census Tract 120,0.470424360188,2685.0,249.0,0.478505423865006
12100,Census Tract 121,0.854653379386,3918.0,246.0,0.42786882974744
12201,Census Tract 122.01,3.590547054756,5949.0,342.0,0.151854366107424
12202,Census Tract 122.02,2.374543516284,3528.0,246.0,0.433216497416218
12301,Census Tract 123.01,3.456443791504,5919.0,338.0,0.508887380335545
12304,Census Tract 123.04,2.75108099754,4267.0,157.0,0.210401629237611
12305,Census Tract 123.05,3.922061953996,4163.0,150.0,0.148986575414583
12306,Census Tract 123.06,7.075403706338,5523.0,268.0,0.397265208295812
12401,Census Tract 124.01,5.486243781824,3126.0,142.0,0.287333231736884
12402,Census Tract 124.02,33.98424630066,6071.0,141.0,0.0784832573668971
12500,Census Tract 125,1.919486015696,4391.0,280.0,0.261315304581538
12600,Census Tract 126,2.13330235346,4865.0,348.0,0.663138499050997
12700,Census Tract 127,0.790178206406,3686.0,162.0,0.479489062218589
12800,Census Tract 128,0.919052490272,4347.0,280.0,0.395990634654549
12900,Census Tract 129,1.696560759548,5114.0,220.0,0.612529613056067
13001,Census Tract 130.01,6.190343636146,7665.0,487.0,0.764245438550311
13002,Census Tract 130.02,1.757964105016,6379.0,406.0,0.537925492858231
13101,Census Tract 131.01,4.457289287762,6513.0,421.0,0.36164641664704
13103,Census Tract 131.03,2.305705390704,6345.0,436.0,0.574195425388953
13104,Census Tract 131.04,4.356787323264,4883.0,605.0,0.64468488937532
13203,Census Tract 132.03,2.87300235659,5605.0,384.0,0.555963480694366
13204,Census Tract 132.04,10.890874481194,8416.0,410.0,0.440711544589296
13205,Census Tract 132.05,4.9705613174,4519.0,315.0,0.541832338149929
13206,Census Tract 132.06,5.496777416588,7046.0,367.0,0.332622158185672
13300,Census Tract 133,30.33165381281,3474.0,21.0,0.11401892464776
13401,Census Tract 134.01,1.705251915568,4232.0,292.0,0.441639766697607
13402,Census Tract 134.02,4.496548139122,3565.0,228.0,0.376207035092337
13503,Census Tract 135.03,6.351772882346,5261.0,285.0,0.20810185505881
13505,Census Tract 135.05,0.939852577216,4114.0,285.0,0.563042906027902
13506,Census Tract 135.06,4.329389911446,8442.0,316.0,0.610299109183857
13507,Census Tract 135.07,2.059791235374,5592.0,338.0,0.389396101467145
13508,Census Tract 135.08,3.887198873906,3998.0,214.0,0.232374170488079
13601,Census Tract 136.01,0.933896953866,4983.0,251.0,0.657555312339812
13603,Census Tract 136.03,3.11401301652,5690.0,408.0,0.463030437372716
13604,Census Tract 136.04,1.783612860876,5199.0,500.0,0.800335268283897
13701,Census Tract 137.01,0.554911199828,2307.0,239.0,0.520538645904047
13702,Census Tract 137.02,1.03890202599,3657.0,286.0,0.616297917734584
13800,Census Tract 138,0.880403680072,6030.0,493.0,0.551599451379172
13901,Census Tract 139.01,0.872181637982,3981.0,210.0,0.771768193846026
13902,Census Tract 139.02,0.533586014164,4134.0,421.0,0.840927667945858
14001,Census Tract 140.01,1.928013464468,4598.0,452.0,0.41757526218811
14003,Census Tract 140.03,0.990325375064,4664.0,363.0,0.724137931034483
14004,Census Tract 140.04,1.175811092476,3979.0,219.0,0.704423601778861
14102,Census Tract 141.02,1.963283882168,3766.0,333.0,0.767958326983555
14103,Census Tract 141.03,1.658094189492,4356.0,349.0,0.486125157589948
14104,Census Tract 141.04,6.26868450415,3649.0,337.0,0.644587910946094
14202,Census Tract 142.02,5.653684636164,6717.0,412.0,0.586428561532813
14203,Census Tract 142.03,1.594030215142,6612.0,292.0,0.486720882226625
14204,Census Tract 142.04,1.429163116734,2561.0,164.0,0.510979343594575
14301,Census Tract 143.01,1.066582064472,2741.0,266.0,0.700198113076848
14302,Census Tract 143.02,1.979390899302,5035.0,315.0,0.477133871794517
14400,Census Tract 144,3.420793063334,4810.0,218.0,0.646693728266441
14501,Census Tract 145.01,2.376472095774,4098.0,181.0,0.262409775425666
14503,Census Tract 145.03,1.323681980844,3484.0,189.0,0.400825702054557
14504,Census Tract 145.04,2.727572791168,5394.0,252.0,0.311162217203973
14505,Census Tract 145.05,2.269639602884,5631.0,234.0,0.56751776783364
14601,Census Tract 146.01,10.167823196304,5506.0,290.0,0.415123093334811
14602,Census Tract 146.02,19.87909081626,4455.0,330.0,0.459844003269558
14700,Census Tract 147,30.410852213356,4726.0,26.0,0.39029661545282
14802,Census Tract 148.02,25.829978239128,5238.0,282.0,0.242058159349413
14803,Census Tract 148.03,10.404882874468,3623.0,224.0,0.0925174214821075
14804,Census Tract 148.04,5.779291724906,6866.0,360.0,0.535237804962525
14901,Census Tract 149.01,3.633071942934,5753.0,623.0,0.552984857510979
14903,Census Tract 149.03,20.629820209122,5350.0,380.0,0.19327800944847
14905,Census Tract 149.05,4.827682727892,5318.0,297.0,0.1811141436112
14906,Census Tract 149.06,7.387453273248,3699.0,260.0,0.269960238844017
15000,Census Tract 150,34.961067758274,5615.0,26.0,0.228107119602111
15101,Census Tract 151.01,20.217284121794,4733.0,216.0,0.134910849115418
15102,Census Tract 151.02,23.031649167644,4290.0,214.0,0.351796179049888
15200,Census Tract 152,33.178841775782,7079.0,17.0,0.653703883293387
15301,Census Tract 153.01,1.141068862312,2859.0,329.0,0.352391903686566
15303,Census Tract 153.03,1.247811779538,3249.0,267.0,0.466438536456962
15304,Census Tract 153.04,1.873454935256,4269.0,416.0,0.642966985771879
15400,Census Tract 154,29.417551922382,3738.0,190.0,0.315138332802261
980100,Census Tract 9801,1.199293043912,20.0,11.0,0.0764328562918219
