tract1,mi_to_tract,tract2
200,0.436671108778234,4100
200,0.550294617881892,9200
200,0.557736300672819,9604
200,0.834073900717554,9601
200,0.876826939806352,2300
200,0.912138533693448,9602
200,0.927986139133278,9603
200,0.931018887948647,4000
200,0.993928560125577,5000
200,1.00828305347372,2400
200,1.04507061334969,1300
200,1.04680221970165,3900
200,1.0627030113962,2700
200,1.10091283596903,700
200,1.12571563477392,9400
200,1.13916611992027,9500
200,1.33561512302797,5200
200,1.3585794837757,5100
200,1.36147973373735,9301
200,1.39130582245855,2200
200,1.45815546948059,6400
200,1.45842053454598,6500
200,1.47044877253284,7500
200,1.53939592226963,3200
200,1.56204146574473,6300
200,1.57578397132211,1500
200,1.60797116025192,9302
200,1.61923042206916,4900
200,1.64329158262741,4602
200,1.69499543910476,2100
200,1.735583241866,4800
200,1.82313527104442,8701
200,1.83626651210222,6600
200,1.8913422591778,2000
200,1.89509229991516,5500
200,1.91890815250087,4702
200,1.92953076195696,3400
200,1.93352001495371,6700
200,1.95424316723733,8000
200,2.01835539515064,8702
200,2.05044758668428,7900
200,2.05134608127396,8800
200,2.06796082239347,6200
200,2.07618416443234,3300
200,2.0780394641356,3000
200,2.0801643722384,2900
200,2.11483003501115,5300
200,2.17791006622808,6900
200,2.26400857894613,5600
200,2.273367122739,1000
200,2.41058161588091,3500
200,2.43810427181229,8400
200,2.45673232137082,1900
200,2.45959943485116,3600
200,2.50328760606195,8100
200,2.51009507885368,7000
200,2.52745615203237,5700
200,2.54025942047413,3100
200,2.57648814140035,7100
200,2.59624240732969,6800
200,2.61435198681051,1800
200,2.62156569300513,5900
200,2.76384619513445,8200
200,2.79571661441954,3700
200,2.84972719600236,10400
200,2.98769278959962,5800
200,3.00230307221792,5400
200,3.01455742542299,3805
200,3.17078978744335,12800
200,3.21644934916679,8301
200,3.24975417498419,7801
200,3.26614161273752,4701
200,3.27176349554496,10602
200,3.2864526850853,14301
200,3.32483442859193,10901
200,3.42547251843753,6000
200,3.44968768012449,13902
200,3.60723030518725,14400
200,3.62739653294327,7600
200,3.63772698640546,7802
200,3.71267030010675,12900
200,3.77380159111478,14102
200,3.79217395354479,7700
200,3.79297798755597,10300
200,4.01702168734322,14302
200,4.02209952646172,10601
200,4.06511096730597,12700
200,4.09966431946869,14004
200,4.11764690597438,8600
200,4.21966408243194,13001
200,4.23760291729679,11100
200,4.24532788414681,13901
200,4.25144280810205,6100
200,4.37434250177173,10500
200,4.3947979122432,10902
200,4.52449977513702,13800
200,4.6147416727421,14203
200,4.72743150976009,14003
200,4.87335217315436,11000
200,4.96568008297139,12600
200,5.00855162691057,14204
200,5.0206145556444,12500
200,5.06667506809301,10200
200,5.21202010145427,10800
200,5.23463563315449,13002
200,5.27548981062182,14504
200,5.319010895769,14104
200,5.32248510676423,14001
200,5.33001936748683,14103
200,5.46334756211308,13505
200,5.56847177580397,13601
200,5.58978602249152,980100
200,5.66255255882584,13701
200,5.71149852533226,14202
200,5.72603759949701,13104
200,5.92321126024292,13702
200,5.93300298821435,13101
200,5.95422920843202,10700
200,6.01083632461996,10100
200,6.20458438080705,12201
200,6.22333681009289,13604
200,6.22368310155757,11503
200,6.24459125608938,8500
200,6.28499017438685,14503
200,6.30444391173492,13103
200,6.51398775739718,11201
200,6.51433861754711,11604
200,6.71361252893105,11603
200,6.82092384241047,13506
200,7.00122010017541,13401
200,7.12593265776517,12301
200,7.1934350179193,13603
200,7.2812714370785,11207
200,7.3337823027998,13507
200,7.55202426063026,13203
200,7.55523262782727,14501
200,7.59339537823231,11605
200,7.73934746225681,12100
200,7.90258475772847,14905
200,8.03111422605719,12000
200,8.05648272706874,11203
200,8.18202386517947,13205
200,8.27275144483997,11205
200,8.28709398623375,12202
200,8.32231481564674,14906
200,8.49145395835097,13508
200,8.55969396221035,14602
200,8.58309640023862,13204
200,8.61004363296883,11504
200,8.64817779591126,12306
200,8.89169312397107,11601
200,8.93689024422284,11501
200,9.00777558136508,11208
200,9.15804867389365,12304
200,9.20822775598032,11901
200,9.31440806184943,14505
200,9.40820718504233,14901
200,9.51159576252101,13206
200,9.61385510927131,11902
200,9.84184784334947,13402
200,9.84503134157428,12305
200,10.1262462768829,11302
200,10.2545217943884,11800
200,10.3470784685694,13503
200,10.3750721980513,14802
200,10.4624687619998,11705
200,11.111510593835,14601
200,11.2385384325684,14903
200,11.3193401549646,11505
200,11.3611554769783,11706
200,11.414328399218,11400
200,11.7674532047534,14804
200,12.1197337340222,11703
200,12.5203325287316,11301
200,12.8376202909672,12402
200,12.9400858120838,11707
200,13.0434314251641,11708
200,13.3235569805685,14803
200,13.5149323284737,13300
200,13.7937412570249,15000
200,14.3526721935315,14700
200,14.558576837739,12401
200,15.1160537334039,15400
200,15.7605659209094,15304
200,15.9894586126052,15303
200,16.3619518578378,15101
200,16.4151248161487,15200
200,17.1030690818249,15301
200,20.0811810745865,15102
700,0.262419746991802,1300
700,0.262889666905779,5200
